country,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,total,missing
Croatia,"Eastern Europe, Balkans, Caucasus",Europe,country,45.5643442,17.0118954,22550,2018,4087843,5.52,0.12,0.02,0.26,0,0,0.45,0,0.01,0.1,0.04,0,1,0
Haiti,Caribbean,North America,country,19.1399952,-72.3570972,9930,2018,11123183,0.89,0,0.88,0,0,0,0.12,0,0,0,0,0,1,0
Hungary,Central Europe and Baltics,Europe,country,47.1817585,19.5060937,60920,2018,9775564,6.23,0.16,0,0.24,0,0.49,0.01,0,0.01,0.02,0.07,0,1,0
Indonesia,Southeast Asia,Asia,country,-2.4833826,117.8902853,969580,2018,267670549,3.62,0.58,0.08,0.22,0,0,0.07,0.05,0,0,0,0,1,0
India,South Asia,Asia,country,22.3511148,78.6677428,3374990,2018,1352642283,2.5,0.74,0.02,0.05,0,0.03,0.09,0,0.02,0.03,0.03,0,1,0
Ireland,Western Europe,Europe,country,52.865196,-7.9794599,65090,2018,4867316,13.37,0.12,0,0.51,0.07,0,0.02,0,0,0.24,0.03,0,1,0
Iran,Middle East,Asia,country,32.6475314,54.5643516,828280,2018,81800204,10.13,0,0.09,0.84,0,0.02,0.05,0,0,0,0,0,1,0
Iraq,Middle East,Asia,country,33.0955793,44.1749775,215690,2018,38433604,5.61,0,0.29,0.37,0.33,0,0.02,0,0,0,0,0,1,0
Iceland,Nordic Countries,Europe,country,64.9841821,-18.1059013,3440,2018,352721,9.75,0,0,0,0,0,0.73,0.27,0,0,0,0,1,0
Israel,Middle East,Asia,country,31.5313113,34.8667654,87830,2018,8882800,9.89,0.33,0.01,0.63,0,0,NA,0,0.02,0,0,0,1,0
Italy,Central Europe and Baltics,Europe,country,42.6384261,12.674297,399600,2018,60421760,6.61,0.12,0.04,0.48,0,0,0.12,0.02,0.08,0.06,0.07,0,1,0
Jamaica,Caribbean,North America,country,18.1850507,-77.3947693,9230,2016,2906242,3.18,0,0.74,0.09,0,0,0.04,0,0.01,0.07,0.06,0,1,0
Jordan,Middle East,Asia,country,31.1667049,36.941628,35810,2018,9965322,3.59,0,0.13,0.8,0,0,0,0,0.04,0.02,0,0,1,0
Japan,East Asia,Asia,country,36.5748441,139.2394179,1186770,2018,126529100,9.38,0.33,0.06,0.38,0.01,0.03,0.08,0,0.05,0.01,0.04,0.02,1,0
Kazakhstan,Central Asia,Asia,country,47.2286086,65.2093197,274220,2018,18276452,15,0.69,0.01,0.19,0,0,0.11,0,0,0,0,0,1,0
Kenya,Sub-Saharan Africa,Africa,country,1.4419683,38.4313975,78830,2018,51392570,1.53,0,0.2,0,0,0,0.31,0.47,0,0,0.01,0,1,0
Kyrgyzstan,Central Asia,Asia,country,41.5089324,74.724091,18120,2018,6322800,2.87,0.07,0,0.01,0,0,0.92,0,0,0,0,0,1,0
Cambodia,Southeast Asia,Asia,country,13.5066394,104.869423,37460,2018,16249795,2.31,0.56,0.04,0,0,0,0.39,0,0,0,0.01,0,1,0
Kiribati,Oceania,Oceania,country,0.3448612,173.6641773,90,2008,98760,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
St. Kitts and Nevis,Caribbean,North America,country,17.250512,-62.6725973,370,2018,52438,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
South Korea,East Asia,Asia,country,36.638392,127.6961188,718880,2018,51606633,13.93,0.45,0.02,0.22,0,0.26,0.01,0,0.01,0,0.01,0,1,0
Kuwait,Middle East,Asia,country,29.2733964,47.4979476,112970,2018,4137314,27.31,0,0.66,0.34,0,0,0,0,0,0,0,0,1,0
