name,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,Agriculture 2016,Land-use change and forestry 2016,Waste 2016,Industry 2016,Manufacturing and construction 2016,Transport 2016,Electricity and heat 2016,Buildings 2016,Fugitive emissions 2016,Other fuel combustion 2016,Aviation and shipping 2016,Agriculture 2016 2017,Land-use change and forestry 2016 2017,Waste 2016 2017,Industry 2016 2017,Manufacturing and construction 2016 2017,Transport 2016 2017,Electricity and heat 2016 2017,Buildings 2016 2017,Fugitive emissions 2016 2017,Other fuel combustion 2016 2017,Aviation and shipping 2016 2017,Agriculture 2016 2017 2018,Land-use change and forestry 2016 2017 2018,Waste 2016 2017 2018,Industry 2016 2017 2018,Manufacturing and construction 2016 2017 2018,Transport 2016 2017 2018,Electricity and heat 2016 2017 2018,Buildings 2016 2017 2018,Fugitive emissions 2016 2017 2018,Other fuel combustion 2016 2017 2018,Aviation and shipping 2016 2017 2018,,
Mauritius,Sub-Saharan Africa,Africa,country,-20.2759451,57.5703566,6740,2018,1265303,5.33,0.42,0.38,0,0,0,0.03,0,0.02,0,0.15,0,160000,-30000,1870000,410000,330000,1100000,2410000,190000,0,60000,1990000,150000,-30000,1890000,450000,330000,1120000,2540000,190000,0,60000,2450000,140000,-30000,1920000,490000,320000,1140000,2470000,200000,0,60000,2820000,,
Malawi,Sub-Saharan Africa,Africa,country,-13.2687204,33.9301963,18320,2018,18143215,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5920000,8790000,410000,940000,150000,790000,140000,10000,230000,7600000,20000,6340000,8450000,430000,1000000,150000,930000,140000,10000,240000,7710000,20000,7460000,8510000,440000,1070000,160000,980000,150000,10000,240000,7820000,20000,,
Malaysia,Southeast Asia,Asia,country,4.5693754,102.2656823,306670,2018,31528033,9.73,0.44,0.01,0.38,0,0,0.16,0,0,0,0.01,0,14910000,83700000,19940000,18690000,29630000,62890000,118490000,4190000,21860000,4260000,8100000,14730000,75270000,20280000,19290000,32450000,60570000,109340000,5370000,21480000,6230000,9240000,14140000,81440000,20620000,19880000,35470000,60830000,125360000,3380000,20730000,6260000,9100000,,
Namibia,Sub-Saharan Africa,Africa,country,-23.2335499,17.3231107,12890,2017,2402623,5.36,0.04,0,0,0,0,0.96,0,0,0,0,0,7300000,10560000,500000,620000,310000,2130000,80000,10000,0,1890000,120000,7320000,10560000,510000,640000,310000,2110000,90000,10000,0,1880000,120000,6410000,10560000,530000,670000,310000,2100000,30000,10000,0,1880000,120000,,
New Caledonia,Oceania (region),Oceania (continent),country,-21.3019905,165.4880773,0,1974,131000, -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Niger,Sub-Saharan Africa,Africa,country,17.7356214,9.3238432,45050,2018,22442831,2.01,0.41,0.58,0,0,0,0,0,0.01,0,0,0,27760000,1240000,6130000,570000,200000,1180000,500000,70000,620000,4300000,140000,29030000,1240000,6390000,620000,210000,1240000,520000,80000,590000,4360000,140000,30470000,1240000,6660000,680000,240000,1370000,570000,80000,570000,4420000,150000,,
Nigeria,Sub-Saharan Africa,Africa,country,9.6000359,7.9999721,311450,2018,195874685,1.59,0,0,0.83,0,0,0.17,0,0,0,0,0,75600000,46300000,13380000,21330000,6550000,51250000,23870000,1740000,55570000,35040000,2340000,75800000,46230000,13740000,22660000,6820000,51300000,25220000,1810000,58270000,35570000,2600000,76190000,46080000,14100000,23980000,7460000,67470000,26910000,1910000,57720000,35720000,3110000,,
Nicaragua,Central America,North and Central America,country,12.6090157,-85.2936911,19070,2018,6465502,2.95,0,0.44,0,0,0,0.1,0.17,0,0.14,0.15,0,11060000,19630000,1030000,800000,610000,2190000,1670000,590000,0,1090000,70000,10890000,19530000,1040000,850000,630000,2340000,1490000,620000,0,1090000,70000,11140000,19590000,1060000,890000,620000,2220000,1440000,620000,0,1090000,50000,,
Netherlands,Western Europe,Europe,country,52.2288689,5.3214503,178640,2018,17231624,10.37,0.29,0.01,0.51,0,0.03,0,0,0.02,0.09,0.05,0,20330000,1360000,3130000,3800000,25080000,30140000,71250000,24440000,610000,9380000,48850000,19410000,1360000,3010000,3680000,25960000,30780000,67770000,24240000,590000,9110000,48490000,18570000,1360000,2880000,3500000,25880000,30830000,63630000,23910000,560000,8880000,47170000,,
Norway,Nordic Countries,Europe,country,60.5000209,9.0999715,47340,2018,5311916,8.91,0,0,0.02,0,0,0.96,0,NA,0.02,0,0,5170000,-18960000,1190000,2800000,6020000,13760000,14710000,1140000,1580000,1620000,1880000,5160000,-18950000,1140000,2940000,6320000,12180000,14980000,1080000,1390000,1720000,2170000,5130000,-18920000,1090000,3000000,6170000,12530000,15020000,1370000,1380000,1640000,2310000,,
Nepal,South Asia,Asia,country,28.1083929,84.0917139,51240,2018,28095712,1.82,0,0,0,0,0,1,0,0,0,0,0,24870000,5190000,950000,900000,2780000,3900000,0,1150000,10000,12520000,430000,25380000,3480000,970000,910000,3190000,4850000,0,1320000,10000,12960000,420000,25740000,3330000,980000,920000,3410000,5360000,0,1520000,10000,13320000,410000,,
Nauru,Oceania (region),Oceania (continent),country,-0.5252306,166.9324426,110,1998,10567,10.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,20000,30000,0,0,20000,30000,0,0,0,0,0,20000,30000,0,0,20000,30000,0,0,0,0,0,20000,40000,0,0,20000,30000,,
New Zealand,Oceania (region),Oceania (continent),country,-41.5000831,172.8344077,81330,2018,4900600,16.6,0.03,0,0.16,0,0,0.57,0.18,0,0.05,0.01,0,42610000,-10610000,3840000,2120000,6580000,14690000,6120000,1530000,1040000,1880000,4310000,42420000,-10610000,3860000,2130000,6470000,15670000,6970000,1610000,1040000,1900000,4620000,42300000,-10610000,3890000,2180000,6280000,16020000,6360000,1450000,1060000,1790000,4890000,,
Oman,Middle East,Asia,country,21.0000287,57.0036901,82300,2018,4829476,17.04,0,0.03,0.97,0,0,0,0,0,0,0,0,1700000,20000,1040000,3910000,14240000,12440000,23820000,11560000,6230000,2910000,5810000,1710000,20000,1060000,4150000,14080000,12360000,25100000,10870000,6240000,2920000,3970000,1750000,20000,1090000,4400000,13720000,12240000,25300000,15050000,6080000,2690000,8640000,,
Pakistan,South Asia,Asia,country,30.3308401,71.247499,431220,2018,212228288,2.03,0.08,0.22,0.37,0,0.08,0.21,0,0.01,0.02,0.01,0,175710000,7000000,8910000,21820000,46470000,49130000,49370000,20310000,13710000,3970000,2520000,182020000,7000000,9070000,23430000,52600000,53840000,55900000,20260000,13660000,3820000,2610000,186220000,7000000,9230000,25030000,55660000,56980000,59760000,20820000,13640000,3880000,2760000,,
Panama,Central America,North and Central America,country,8.559559,-81.1308434,18010,2018,4176868,4.31,0.02,0.27,0,0,0,0.66,0,0.01,0.04,0,0,3540000,4420000,2340000,1860000,1970000,4700000,2660000,540000,0,710000,14630000,3480000,4400000,2420000,1950000,1850000,4860000,2070000,570000,0,700000,16610000,3540000,4400000,2500000,2030000,1860000,4810000,1950000,620000,0,690000,16460000,,
Peru,South America (region),South America (continent),country,-6.8699697,-75.0458515,96280,2018,31989265,3.01,0.01,0.02,0.37,0,0,0.55,0,0.01,0.02,0.02,0,26100000,89910000,11050000,5050000,7770000,23150000,17640000,3320000,2870000,1090000,2490000,26430000,89830000,11220000,5140000,7750000,23480000,14790000,3420000,2720000,1090000,3650000,26170000,89900000,11390000,5230000,8120000,24180000,13440000,4060000,2680000,1020000,3710000,,
Philippines,Southeast Asia,Asia,country,12.7503486,122.7312101,232340,2018,106651394,2.18,0.5,0.04,0.22,0,0,0.1,0.11,0.01,0.01,0.01,0,59040000,2560000,13310000,16160000,16760000,33340000,56040000,7910000,630000,6310000,4040000,62160000,2480000,13540000,17420000,17790000,34380000,64120000,9300000,550000,6610000,5040000,61370000,2480000,13770000,18680000,15390000,35640000,70440000,10030000,550000,6480000,5130000,,
Palau,Oceania (region),Oceania (continent),country,5.3783537,132.9102573,220,1997,18016,12.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20000,10000,0,160000,90000,10000,0,0,60000,0,0,20000,10000,0,170000,100000,10000,0,0,60000,0,0,20000,10000,0,180000,100000,10000,0,0,60000,,
Papua New Guinea,Oceania (region),Oceania (continent),country,-5.6816069,144.2489081,22970,2018,8606324,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4450000,40880000,4440000,190000,1740000,2050000,3300000,160000,5410000,930000,270000,4530000,40860000,4530000,230000,1780000,2030000,3350000,160000,5350000,930000,240000,4770000,41120000,4630000,270000,1870000,2130000,2890000,170000,5290000,950000,250000,,
Poland,Central Europe and Baltics,Europe,country,52.215933,19.134422,389650,2018,37974750,10.26,0.78,0.01,0.06,0,0,0.02,0,0,0.09,0.04,0,31600000,-32880000,10240000,16350000,28130000,53260000,157790000,44430000,19530000,15860000,2620000,31940000,-32900000,10130000,16250000,30740000,61540000,159330000,43580000,19660000,16890000,3380000,32160000,-32910000,10030000,15680000,31260000,63480000,157460000,42680000,19790000,17120000,3850000,,
Puerto Rico,Caribbean,North and Central America,country,18.2214149,-66.4132818,2858,1989,3505650,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
North Korea,East Asia,Asia,country,40.3736611,127.0870417,41910,2018,25549606,1.64,0.16,0.05,0,0,0,0.78,0,0,0,0,0,4920000,3290000,1480000,5680000,16460000,1450000,4470000,120000,12360000,6530000,0,4960000,3320000,1490000,5810000,11470000,1400000,3310000,120000,12430000,5030000,0,4910000,3380000,1490000,5930000,8430000,1390000,2920000,120000,12500000,4210000,0,,
Portugal,Western Europe,Europe,country,40.0332629,-7.8896263,66820,2018,10283822,6.5,0.25,0.02,0.33,0,0,0.1,0,0.02,0.21,0.06,0,7080000,430000,6410000,5500000,5340000,16350000,20870000,2740000,70000,2020000,5890000,7330000,820000,6380000,5510000,5670000,16700000,24500000,2740000,70000,2050000,6330000,7020000,320000,6350000,5280000,5540000,16820000,20830000,2850000,70000,2060000,6680000,,
Paraguay,South America (region),South America (continent),country,-23.3165935,-58.1693445,49170,2018,6956069,7.07,0,0,0,0,0,1,0,0,0,0,0,30600000,46110000,7530000,1730000,190000,6400000,0,210000,0,1400000,130000,32030000,46560000,7630000,1840000,180000,7260000,0,220000,0,1390000,170000,30030000,46120000,7720000,1960000,220000,7620000,0,230000,0,1390000,200000,,
French Polynesia,Oceania (region),Oceania (continent),country,-16.03442485,-146.0490931,0,1979,148734, -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Qatar,Middle East,Asia,country,25.3336984,51.2295295,99830,2018,2781682,35.89,0,0,1,0,0,0,0,0,0,0,0,480000,0,1030000,2930000,16470000,13180000,51830000,400000,4150000,4230000,5480000,530000,0,1080000,2950000,17520000,13450000,52950000,410000,4140000,4300000,8760000,330000,0,1140000,2980000,21200000,11730000,53650000,420000,4010000,4370000,9120000,,
Romania,"Eastern Europe, Balkans, Caucasus",Europe,country,45.9852129,24.6859225,109010,2018,19473970,5.6,0.26,0.01,0.17,0,0.18,0.23,0,0.03,0.12,0.01,0,15480000,-22880000,5780000,5490000,11660000,16490000,29970000,8320000,9720000,2940000,860000,15590000,-22870000,5730000,5500000,11810000,17620000,30780000,8730000,9550000,3250000,980000,15590000,-22880000,5690000,5380000,12520000,18110000,29810000,9030000,9390000,3500000,420000,,
Russian Federation,"Eastern Europe, Balkans, Caucasus",Europe,country,64.6863136,97.7453061,2543400,2018,144477859,17.6,0.16,0.01,0.47,0,0.19,0.17,0,0,0,0,0,96220000,-551830000,115750000,55270000,259780000,240200000,840130000,156310000,684160000,22280000,48160000,95540000,-554890000,116480000,54910000,262090000,246060000,835580000,178410000,682360000,22710000,52970000,95990000,-551320000,117210000,54580000,250550000,258860000,844670000,217990000,680560000,22990000,53800000,,
Rwanda,Sub-Saharan Africa,Africa,country,-1.9646631,30.0644358,6170,2018,12301969,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3410000,1680000,290000,320000,0,0,0,0,0,1090000,0,3430000,1670000,300000,330000,0,0,0,0,0,1110000,0,3440000,1650000,310000,350000,0,0,0,0,0,1120000,0,,
Saudi Arabia,Middle East,Asia,country,25.6242618,42.3528328,585810,2013,30052058,19.49,0,0.12,0.64,0.24,0,0,0,0,0,0,0,6390000,0,26670000,88210000,122860000,146450000,253620000,4860000,13210000,1900000,19430000,6260000,0,27360000,90610000,124900000,142910000,243910000,4910000,13290000,1940000,20430000,6310000,0,28060000,96750000,125120000,136020000,225440000,5080000,13370000,1970000,21940000,,
Sudan,Sub-Saharan Africa,Africa,country,14.5844444,29.4917691,109630,2018,41801532,2.62,0,0.23,0,0.17,0,0.6,0,0,0,0,0,75280000,21010000,3540000,2350000,1690000,11160000,4950000,590000,20000,9440000,670000,75030000,21010000,3630000,2440000,1580000,11060000,5100000,590000,20000,9470000,760000,75590000,21010000,3720000,2520000,1480000,10800000,5320000,590000,20000,9580000,740000,,
Senegal,Sub-Saharan Africa,Africa,country,14.4750607,-14.4529612,29990,2018,15854324,1.89,0,0.86,0.02,0,0,0.07,0,0.03,0,0.01,0.01,11340000,4380000,3830000,3080000,1730000,2960000,3020000,400000,20000,3390000,1120000,11360000,4350000,3950000,3210000,970000,2400000,4070000,340000,30000,3410000,600000,11010000,4370000,4070000,3340000,1140000,2490000,3930000,520000,30000,3460000,630000,,
Singapore,Southeast Asia,Asia,country,1.357107,103.8194992,49710,1998,3927213,12.66,0.01,0.01,0.95,0,0,0,0,0,0,0.03,0,20000,30000,3060000,13360000,13040000,7180000,25330000,610000,960000,400000,174850000,20000,30000,3140000,13990000,13690000,7080000,26060000,590000,980000,410000,182590000,20000,30000,3220000,14620000,14010000,6920000,25820000,600000,1000000,430000,181270000,,
Solomon Islands,Oceania (region),Oceania (continent),country,-8.7053941,159.1070694,940,2018,652856,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,45410000,340000,90000,20000,230000,90000,0,0,30000,30000,70000,45410000,350000,110000,20000,220000,90000,0,0,30000,30000,70000,45410000,350000,130000,20000,230000,90000,0,0,30000,40000,,
Sierra Leone,Sub-Saharan Africa,Africa,country,8.6400349,-11.8400269,7190,2018,7650149,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4610000,3400000,1360000,130000,100000,470000,60000,40000,0,870000,10000,4390000,3410000,1390000,140000,100000,470000,70000,30000,0,880000,20000,4010000,3380000,1420000,160000,110000,490000,70000,30000,0,910000,20000,,
El Salvador,Central America,North and Central America,country,13.8000382,-88.9140683,12350,2018,6420740,1.92,0,0.26,0,0,0,0.3,0.29,0.03,0,0.13,0,2510000,1080000,2080000,690000,1190000,3440000,1670000,490000,0,660000,530000,2480000,1110000,2090000,710000,1280000,3360000,980000,370000,0,660000,530000,2430000,1090000,2110000,740000,1410000,3480000,890000,640000,0,660000,560000,,
Somalia,Sub-Saharan Africa,Africa,country,8.3676771,49.083416,26970,2018,15008225,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22480000,17350000,2310000,250000,80000,140000,320000,120000,0,1370000,230000,22230000,17350000,2380000,260000,80000,140000,320000,120000,0,1380000,230000,22160000,17350000,2440000,280000,80000,150000,330000,120000,0,1400000,240000,,
Serbia,"Eastern Europe, Balkans, Caucasus",Europe,country,44.1534121,20.55144,75600,1998,7567745,9.99,0.73,0,0.02,0,0,0.25,0,0,0,0,0,6560000,-90000,5590000,1850000,3730000,5970000,32990000,2330000,2380000,2780000,420000,6250000,-90000,5660000,1810000,3540000,6240000,33570000,2350000,2340000,2750000,440000,5710000,-90000,5730000,1770000,3930000,6350000,31920000,2210000,2310000,2670000,470000,,
South Sudan,Sub-Saharan Africa,Africa,country,7.8699431,29.6667897,46690,1998,5661934,8.25,0,0.99,0,0,0,0,0,0.01,0,0,0,48860000,10140000,2380000,80000,30000,950000,670000,10000,4930000,530000,220000,46630000,9810000,2460000,90000,50000,740000,640000,20000,4870000,530000,240000,49360000,9830000,2540000,90000,40000,590000,680000,20000,4820000,520000,190000,,
Sao Tome and Principe,Sub-Saharan Africa,Africa,country,0.8875498,6.9648718,190,2018,211032,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,220000,10000,10000,30000,30000,50000,10000,0,20000,40000,20000,220000,10000,10000,30000,30000,50000,10000,0,20000,40000,20000,220000,10000,10000,30000,40000,60000,10000,0,20000,40000,,
Suriname,South America (region),South America (continent),country,4.1413025,-56.0771187,3780,2018,575987,6.56,0,0.4,0,0,0,0.6,0,0,0,0,0,750000,9360000,100000,140000,60000,610000,1180000,100000,790000,340000,140000,750000,9360000,100000,150000,60000,610000,1010000,90000,790000,340000,140000,670000,9360000,100000,160000,60000,610000,950000,100000,800000,340000,140000,,
Slovak Republic,Central Europe and Baltics,Europe,country,48.7411522,19.4528646,39930,2018,5446771,7.33,0.13,0.02,0.06,0,0.55,0.16,0,0.02,0,0.06,0.01,2630000,-1070000,1480000,2220000,7300000,6740000,11680000,4170000,1670000,690000,150000,2480000,-1070000,1490000,2200000,7750000,7800000,11870000,4550000,1680000,660000,120000,2540000,-1060000,1490000,2160000,8410000,7730000,10970000,4280000,1690000,650000,140000,,
Slovenia,Central Europe and Baltics,Europe,country,45.8133113,14.4808369,17170,2018,2073894,8.28,0.3,0,0.03,0,0.39,0.24,0,0.02,0,0.02,0,1640000,340000,530000,790000,1650000,5650000,4910000,1120000,270000,580000,450000,1640000,340000,520000,830000,1750000,5770000,4940000,1000000,270000,590000,570000,1620000,350000,510000,800000,1940000,5720000,4820000,880000,270000,600000,820000,,
Sweden,Nordic Countries,Europe,country,59.6749712,14.5208584,46350,2018,10175214,4.56,0.01,0,0,0,0.4,0.4,0,0,0.11,0.08,0,7360000,-16650000,1140000,2690000,6840000,17590000,10040000,1620000,70000,2170000,8790000,7500000,-16570000,1090000,2550000,6900000,17330000,9970000,1560000,70000,2100000,10070000,7240000,-16310000,1040000,2480000,6910000,16490000,8610000,1520000,70000,1990000,8580000,,
Eswatini,Sub-Saharan Africa,Africa,country,-26.5624806,31.3991317,3120,2018,1136274,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960000,-110000,580000,80000,320000,470000,220000,160000,80000,330000,0,980000,-120000,590000,80000,260000,680000,40000,30000,90000,310000,10000,980000,-120000,590000,90000,270000,710000,40000,30000,90000,320000,10000,,
Seychelles,Sub-Saharan Africa,Africa,country,-4.6574977,55.4540146,780,2018,96762,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,90000,50000,10000,120000,330000,20000,0,60000,630000,0,0,90000,60000,10000,150000,340000,20000,0,60000,700000,0,0,90000,60000,10000,160000,360000,20000,0,70000,730000,,
Syria,Middle East,Asia,country,34.6401861,39.0494106,47540,2017,17095669,2.78,0,0.38,0.58,0,0,0.04,0,0,0,0,0,6690000,0,6380000,2890000,2770000,6130000,12290000,2740000,3780000,1260000,1270000,6580000,0,6500000,3010000,3030000,6840000,12810000,3050000,4360000,1370000,1190000,6450000,0,6610000,3120000,2860000,6410000,12680000,2850000,4030000,1310000,1160000,,
Turks and Caicos Islands,Caribbean,North and Central America,country,21.7214683,-71.6201783,2,1989,11550,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chad,Sub-Saharan Africa,Africa,country,15.6134137,19.0156172,80680,2018,15477727,5.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65060000,24970000,2130000,660000,0,160000,190000,80000,5770000,1180000,60000,67320000,24460000,2190000,720000,0,160000,190000,80000,5840000,1190000,60000,70070000,24370000,2260000,780000,0,160000,200000,90000,5900000,1250000,60000,,
Togo,Sub-Saharan Africa,Africa,country,8.7800265,1.0199765,8420,2018,7889095,1.07,0,0.09,0,0,0,0.88,0,0,0,0.02,0,2960000,820000,900000,1520000,120000,610000,510000,250000,0,1370000,170000,2850000,830000,930000,1590000,30000,890000,280000,60000,0,1390000,230000,2950000,820000,950000,1660000,110000,1010000,210000,110000,0,1410000,200000,,
Thailand,Southeast Asia,Asia,country,14.8971921,100.83273,416950,2018,69428454,6.01,0.19,0,0.64,0,0,0.05,0,0.02,0.01,0.08,0,61010000,15740000,12580000,55440000,48650000,69070000,110360000,6560000,12980000,18550000,16650000,70690000,15740000,12650000,63670000,49610000,75320000,103980000,6690000,12890000,17710000,17050000,68820000,14270000,12720000,71900000,43940000,75880000,105570000,6730000,12810000,18580000,18860000,,
Tajikistan,Central Asia,Asia,country,38.6281733,70.8156541,15210,2018,9100847,1.67,0.05,0,0,0,0,0.95,0,0,0,0,0,6290000,-130000,830000,880000,940000,1290000,530000,1130000,140000,1620000,100000,6390000,-130000,850000,900000,1530000,1180000,970000,1090000,140000,1150000,60000,6410000,-130000,870000,910000,1910000,1230000,1490000,1060000,140000,1180000,90000,,
Turkmenistan,Central Asia,Asia,country,39.3763807,59.3924609,125080,2018,5850902,21.38,0,0,1,0,0,0,0,0,0,0,0,9320000,0,1350000,2110000,2350000,11770000,25950000,17310000,43960000,11830000,1450000,9290000,0,1370000,2080000,2350000,11770000,25930000,17310000,43640000,11880000,1450000,9220000,0,1390000,2060000,2350000,11770000,25910000,17310000,43040000,12030000,1450000,,
Timor-Leste,Southeast Asia,Asia,country,-8.5151979,125.8375756,6190,2018,1267975,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990000,460000,60000,10000,0,80000,390000,0,5100000,130000,10000,940000,470000,60000,10000,0,90000,410000,0,4770000,120000,10000,940000,470000,60000,20000,0,90000,430000,0,4530000,130000,10000,,
Tonga,Oceania (region),Oceania (continent),country,-19.9160819,-175.202642,350,2018,103199,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,0,60000,0,0,100000,50000,10000,0,10000,10000,80000,0,60000,0,0,130000,50000,10000,0,10000,20000,80000,0,70000,0,0,130000,50000,10000,0,10000,20000,,
Trinidad and Tobago,Caribbean,North and Central America,country,10.8677845,-60.9821067,15970,2000,1267159,12.6,0,0,1,0,0,0,0,0,0,0,0,300000,130000,1210000,3270000,2030000,3030000,12230000,380000,270000,110000,2980000,300000,130000,1220000,3520000,2090000,3050000,12110000,380000,290000,110000,2350000,300000,130000,1240000,3770000,1950000,2500000,12360000,380000,290000,110000,1900000,,
Tunisia,North Africa,Africa,country,33.8439408,9.400138,41100,2018,11565203,3.55,0,0,0.96,0,0,0,0,0.01,0.02,0,0.01,4570000,-3790000,3050000,4870000,5200000,7080000,9130000,2620000,980000,2230000,670000,4460000,-3760000,3100000,5000000,5180000,7620000,9280000,2790000,940000,2340000,800000,4570000,-3790000,3140000,5140000,4960000,7630000,9470000,2880000,940000,2370000,910000,,
Turkey,Middle East,Asia,country,38.9597594,34.9249653,502520,2018,82340090,6.1,0.33,0,0.37,0,0,0.2,0.02,0.01,0.06,0.01,0,48180000,-28650000,16160000,43530000,51060000,79150000,146530000,54070000,8140000,13990000,13020000,47770000,-28640000,16430000,45710000,68790000,82840000,158510000,59040000,8200000,15380000,13310000,49590000,-28650000,16710000,47910000,72120000,83370000,159040000,50100000,8260000,15430000,14270000,,
Tuvalu,Oceania (region),Oceania (continent),country,-8.6405212,179.1582918,30,2018,11505,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,0,10000,0,0,10000,10000,0,0,0,0,10000,0,10000,0,0,10000,10000,0,0,0,0,10000,0,10000,0,0,10000,10000,0,0,0,0,,
Tanzania,Sub-Saharan Africa,Africa,country,-6.5247123,35.7878438,105380,2018,56313444,1.87,0,0.17,0.53,0,0,0.29,0,0,0,0,0,59560000,72150000,5750000,1810000,1300000,5320000,2570000,420000,2880000,25050000,450000,57090000,72170000,5910000,1930000,1830000,5380000,2410000,430000,2950000,25410000,460000,58230000,70190000,6060000,2040000,1930000,5620000,2310000,410000,3020000,25760000,430000,,
Uganda,Sub-Saharan Africa,Africa,country,1.5333554,32.2166578,54870,2018,42729032,1.28,0,0.06,0,0,0,0.83,0,0.01,0,0.1,0,28530000,15870000,1810000,990000,930000,3200000,190000,230000,0,16990000,310000,29180000,15880000,1870000,990000,1050000,3220000,210000,230000,0,17210000,320000,29520000,15840000,1930000,990000,1110000,3420000,220000,240000,0,17440000,320000,,
Ukraine,"Eastern Europe, Balkans, Caucasus",Europe,country,49.4871968,31.2718321,274510,2018,44622518,6.15,0.32,0.01,0.05,0,0.55,0.06,0,0,0.01,0,0,29540000,-12130000,14210000,8790000,37650000,24400000,105140000,25570000,38200000,6630000,480000,30120000,-12140000,14330000,8840000,31420000,25460000,86270000,24240000,37760000,5650000,770000,30190000,-12080000,14460000,8980000,35620000,25210000,90950000,26110000,37320000,5680000,920000,,
Uruguay,South America (region),South America (continent),country,-32.8755548,-56.0201525,36160,2018,3449290,10.48,0,0.01,0,0,0,0.55,0,0.02,0.28,0.14,0,27400000,-1770000,1970000,1130000,880000,3520000,830000,530000,10000,780000,760000,26820000,-1770000,1990000,1200000,820000,3680000,330000,470000,10000,790000,630000,26340000,-1770000,2010000,1270000,870000,3630000,760000,480000,10000,790000,780000,,
United States,North America (region),North and Central America,country,39.7837304,-100.445882,6023620,2018,326838199,18.43,0.31,0.01,0.31,0,0.2,0.07,0,0.02,0.06,0.02,0,381400000,-230360000,131030000,222020000,439020000,1711220000,2145510000,496470000,286110000,94480000,136850000,381930000,-229160000,132130000,227960000,429410000,1724020000,2064520000,497900000,291100000,93830000,148230000,385250000,-229270000,133240000,233910000,458790000,1762240000,2103170000,550680000,301580000,94750000,144850000,,
Uzbekistan,Central Asia,Asia,country,41.32373,63.9528098,235510,2018,32956100,7.15,0.04,0,0.82,0,0,0.14,0,0,0,0,0,34680000,-3370000,6800000,6570000,11320000,7340000,47670000,31280000,79830000,5420000,0,35380000,-3370000,6920000,6630000,12380000,7920000,48540000,34320000,78750000,4080000,0,35990000,-3370000,7040000,6690000,11390000,15020000,52950000,26930000,77670000,1820000,0,,
St. Vincent and the Grenadines,Caribbean,North and Central America,country,12.90447,-61.2765569,370,2018,110210,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,0,60000,0,0,140000,100000,30000,0,0,0,20000,0,60000,0,0,140000,100000,30000,0,0,0,10000,0,60000,0,0,150000,100000,30000,0,0,0,,
Venezuela,South America (region),North and Central America,country,8.0018709,-66.1109318,233920,2018,28887117,8.1,0,0.13,0.26,0,0,0.61,0,0,0,0,0,38710000,43470000,10760000,12110000,16910000,40780000,65940000,5460000,65880000,1040000,1480000,38470000,43060000,10860000,12700000,17820000,37300000,62980000,5260000,57150000,1040000,1430000,39880000,43340000,10960000,13290000,17370000,32930000,57290000,5000000,56180000,1040000,1210000,,
