name,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,Agriculture 2016,Land-use change and forestry 2016,Waste 2016,Industry 2016,Manufacturing and construction 2016,Transport 2016,Electricity and heat 2016,Buildings 2016,Fugitive emissions 2016,Other fuel combustion 2016,Aviation and shipping 2016,Agriculture 2016 2017,Land-use change and forestry 2016 2017,Waste 2016 2017,Industry 2016 2017,Manufacturing and construction 2016 2017,Transport 2016 2017,Electricity and heat 2016 2017,Buildings 2016 2017,Fugitive emissions 2016 2017,Other fuel combustion 2016 2017,Aviation and shipping 2016 2017,Agriculture 2016 2017 2018,Land-use change and forestry 2016 2017 2018,Waste 2016 2017 2018,Industry 2016 2017 2018,Manufacturing and construction 2016 2017 2018,Transport 2016 2017 2018,Electricity and heat 2016 2017 2018,Buildings 2016 2017 2018,Fugitive emissions 2016 2017 2018,Other fuel combustion 2016 2017 2018,Aviation and shipping 2016 2017 2018,,
Belize,Central America,North and Central America,country,16.8259793,-88.7600927,1560,2018,383071,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400000,5260000,220000,120000,60000,500000,20000,70000,90000,30000,50000,390000,5310000,230000,130000,50000,490000,30000,80000,90000,30000,50000,380000,5260000,230000,150000,50000,510000,30000,90000,90000,30000,50000,,
Bermuda,Caribbean,North and Central America,country,32.3018217,-64.7603583,577,1986,57382,10.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bolivia,South America (region),South America (continent),country,-17.0568696,-64.9912286,56870,2018,11353140,5.01,0,0.02,0.72,0,0,0.22,0,0,0.01,0.03,0,27470000,70570000,2850000,1780000,2270000,9500000,6050000,1660000,3180000,1020000,260000,27230000,69020000,2910000,1810000,2350000,10100000,6040000,1710000,3110000,1040000,250000,27250000,69340000,2970000,1830000,2380000,10550000,5920000,1780000,3130000,1060000,240000,,
Brazil,South America (region),South America (continent),country,-10.3333333,-53.2,1032640,2018,209469320,4.93,0.04,0.03,0.11,0,0.03,0.63,0,0,0.07,0.09,0,502990000,392290000,68890000,30170000,84690000,198890000,96390000,20410000,8580000,40700000,17700000,507270000,396510000,69550000,28940000,90500000,200020000,97860000,20480000,8520000,41760000,17390000,496100000,387940000,70220000,28990000,86980000,191660000,88440000,20380000,8680000,41180000,16740000,,
Barbados,Caribbean,North and Central America,country,13.1500331,-59.5250305,3790,2018,286640,13.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,0,2270000,190000,50000,430000,660000,80000,60000,20000,390000,60000,0,2270000,200000,60000,440000,520000,90000,60000,20000,430000,50000,0,2280000,210000,60000,460000,550000,70000,70000,20000,450000,,
Brunei Darussalam,Southeast Asia,Asia,country,4.4137155,114.5653908,16620,2018,428960,38.74,0,0.01,0.99,0,0,0,0,0,0,0,0,130000,390000,170000,350000,320000,1340000,4630000,90000,9060000,90000,240000,130000,320000,170000,430000,420000,1330000,4790000,90000,8850000,140000,230000,120000,330000,170000,500000,370000,1350000,5210000,120000,8630000,150000,260000,,
Bhutan,South Asia,Asia,country,27.549511,90.5119273,2470,2018,754396,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520000,-1300000,80000,390000,290000,540000,0,50000,0,450000,10000,530000,-1310000,80000,390000,350000,570000,0,50000,0,450000,10000,530000,-1310000,80000,400000,370000,600000,0,50000,0,440000,10000,,
Botswana,Sub-Saharan Africa,Africa,country,-23.1681782,24.5928742,16120,2018,2254067,7.15,1,0,0,0,0,0,0,0,0,0,0,3820000,41330000,240000,300000,720000,2490000,3620000,100000,720000,1570000,40000,6890000,41330000,250000,310000,740000,2550000,4290000,100000,730000,1600000,40000,5150000,41330000,250000,330000,770000,2660000,4480000,110000,750000,1620000,40000,,
Central African Republic,Sub-Saharan Africa,Africa,country,7.0323598,19.9981227,55680,2018,4666375,11.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19650000,35170000,3000000,30000,20000,180000,0,60000,0,32880000,110000,18120000,31890000,3010000,30000,20000,190000,0,60000,0,33350000,110000,18520000,31390000,3030000,40000,20000,190000,0,60000,0,33830000,120000,,
Canada,North America (region),North and Central America,country,61.0666922,-107.991707,724930,2018,37065178,19.56,0.09,0.01,0.09,0,0.15,0.6,0,0.01,0.04,0.01,0,56390000,35920000,17550000,20850000,64500000,180830000,212670000,66470000,45240000,30700000,2940000,57150000,36380000,17910000,21520000,67910000,185250000,211980000,69950000,46520000,31170000,3110000,58950000,38510000,18280000,21640000,69170000,192110000,209540000,75680000,47700000,31870000,4120000,,
Switzerland,Central Europe and Baltics,Europe,country,46.7985624,8.2319736,46020,2018,8514329,5.41,0,0,0.01,0,0.34,0.57,0,0.03,0,0.05,0,5640000,-2240000,820000,3350000,5140000,16040000,3100000,12990000,230000,880000,5100000,5600000,-2240000,810000,3380000,5040000,15750000,3090000,12370000,230000,920000,5270000,5540000,-2240000,790000,3420000,4920000,15820000,3080000,11340000,230000,870000,5530000,,
Chile,South America (region),South America (continent),country,-31.7613365,-71.3187697,109590,2018,18729166,5.85,0.37,0.02,0.17,0,0,0.27,0,0.05,0.04,0.08,0,10190000,-57780000,4770000,3620000,14990000,26380000,37140000,5910000,1180000,3960000,2170000,10250000,-56580000,4870000,3820000,14400000,27380000,36510000,6460000,1150000,4510000,2290000,10650000,-57820000,4980000,4030000,14320000,28330000,35010000,6580000,1140000,4570000,2450000,,
China,East Asia,Asia,country,35.000074,104.999927,12355240,2018,1402760000,8.81,0.68,0,0.03,0,0.04,0.18,0,0.02,0.04,0.01,0,699820000,-649520000,185650000,1122480000,2846380000,843420000,4637770000,525090000,696810000,299760000,57070000,684300000,-649790000,191610000,1144490000,2734180000,880900000,4904120000,533080000,694790000,290600000,61540000,672870000,-649430000,197570000,1166290000,2667430000,917020000,5214200000,542130000,693660000,284080000,63820000,,
Cote d'Ivoire,Sub-Saharan Africa,Africa,country,7.9897371,-5.5679458,22900,2018,25069226,0.91,0,0.01,0.83,0,0,0.15,0,0,0,0.02,0,7180000,26680000,2090000,2820000,720000,3840000,3550000,890000,460000,1190000,780000,6110000,26650000,2150000,3110000,1380000,3580000,3910000,1070000,510000,1300000,750000,5960000,26650000,2200000,3400000,990000,3980000,3570000,1120000,560000,1130000,740000,,
Cameroon,Sub-Saharan Africa,Africa,country,4.6125522,13.1535811,89050,2018,25216261,3.53,0,0.27,0.22,0,0,0.51,0,0,0,0,0,12860000,34540000,3740000,59030000,230000,3180000,2130000,470000,1470000,5200000,70000,12700000,34510000,3840000,59260000,230000,2940000,2260000,450000,1380000,5260000,50000,12740000,34280000,3940000,59490000,240000,2870000,2640000,440000,1380000,5320000,50000,,
Democratic Republic of the Congo,Sub-Saharan Africa,Africa,country,-2.9814344,23.8222636,58700,2018,84068092,0.7,0,0,0,0,0,1,0,0,0,0,0,26610000,627580000,14130000,1820000,70000,1900000,10000,0,910000,12190000,370000,27630000,626510000,14600000,2000000,50000,2140000,10000,0,910000,12320000,370000,25980000,622960000,15070000,2180000,40000,2070000,10000,0,900000,12460000,430000,,
Republic of the Congo,Sub-Saharan Africa,Africa,country,-0.7264327,15.6419155,9370,2018,5244363,1.79,0,0.02,0.54,0,0,0.3,0,0.14,0,0,0,3360000,10970000,680000,870000,90000,1450000,1350000,90000,170000,1190000,130000,3320000,10710000,700000,920000,110000,1320000,1340000,80000,180000,1210000,100000,3420000,10920000,720000,970000,110000,1320000,1340000,80000,190000,1230000,100000,,
Colombia,South America (region),South America (continent),country,4.099917,-72.9088133,184100,2018,49661056,3.71,0.04,0.03,0.14,0,0,0.78,0,0,0,0.02,0,56690000,83270000,16490000,11400000,14070000,28800000,23110000,4660000,17340000,8380000,5100000,60370000,83150000,16800000,11810000,14790000,28790000,16470000,4610000,16990000,6840000,4860000,63020000,83850000,17110000,12220000,15210000,29340000,18560000,5090000,16650000,6900000,5030000,,
Comoros,Sub-Saharan Africa,Africa,country,-12.2045176,44.2832964,590,2018,832322,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290000,60000,10000,10000,0,50000,40000,40000,0,110000,10000,280000,60000,10000,10000,0,50000,70000,40000,0,120000,10000,280000,60000,10000,10000,0,50000,70000,50000,0,130000,10000,,
Cabo Verde,Sub-Saharan Africa,Africa,country,16.0000552,-24.0083947,830,2018,543764,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,-60000,40000,10000,0,260000,240000,40000,0,50000,380000,100000,-60000,40000,10000,0,280000,270000,50000,0,50000,400000,100000,-60000,40000,20000,0,290000,280000,50000,0,50000,420000,,
Costa Rica,Central America,North and Central America,country,10.2735633,-84.0739102,15810,2018,4999443,3.16,0,0,0,0,0,0.77,0.1,0,0.11,0.02,0,4070000,-7240000,2020000,1450000,1100000,5680000,160000,290000,0,770000,600000,4050000,-7280000,2050000,1510000,1170000,5790000,60000,300000,0,780000,600000,3990000,-7270000,2080000,1570000,1100000,5880000,140000,310000,0,750000,660000,,
Cuba,Caribbean,North and Central America,country,23.0131338,-80.8328748,41860,2018,11338146,3.69,0,0.59,0.14,0.24,0,0,0,0,0,0.03,0,11120000,-3040000,3130000,1090000,11570000,1490000,11560000,630000,1940000,3110000,1800000,10680000,-3010000,3140000,1130000,8720000,1630000,11270000,650000,1920000,3340000,1860000,10670000,-3040000,3160000,1170000,8470000,1790000,10660000,670000,1930000,3340000,1730000,,
Cayman Islands,Caribbean,North and Central America,country,19.70318225,-79.91746272,0,1985,19460, -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cyprus,Middle East,Asia,country,34.9823018,33.1451285,8600,2018,1189262,7.23,0,0.91,0,0,0,0,0,0.03,0.04,0.01,0,400000,-250000,550000,1240000,600000,1910000,3210000,440000,0,190000,1710000,410000,-250000,550000,1260000,620000,1980000,3220000,450000,0,190000,1710000,420000,-250000,550000,1240000,560000,1990000,3270000,390000,0,190000,1800000,,
Czech Republic,Central Europe and Baltics,Europe,country,49.8167003,15.4749544,122840,2018,10629928,11.56,0.51,0,0.04,0,0.33,0.02,0,0.03,0.01,0.06,0,7120000,-5820000,4730000,5380000,11440000,18000000,59160000,11230000,3870000,3160000,940000,6800000,-5810000,4710000,5190000,12210000,18540000,58090000,11470000,3890000,3210000,1060000,6690000,-5820000,4690000,4970000,12440000,18670000,57630000,10720000,3920000,3100000,1220000,,
Germany,Central Europe and Baltics,Europe,country,51.0834196,10.4234469,806090,2018,82905782,9.72,0.39,0.01,0.14,0,0.12,0.03,0,0.06,0.16,0.09,0,62290000,-29470000,9480000,26150000,93220000,161020000,345940000,133200000,7510000,11340000,34820000,60960000,-29470000,9060000,26120000,95140000,163490000,327740000,131570000,7510000,11070000,35890000,58300000,-29480000,8630000,25340000,99330000,158300000,310350000,120820000,7510000,17520000,34900000,,
